time,mode,wind_power_kw,wind_current_a,diesel_power_kw,load_power_kw,battery_power_kw,battery_current_a,dump_load_power_kw,unserved_power_kw,soc_percent,dc_bus_voltage_v,pcc_voltage_v,frequency_hz,inverter_current_a,diesel_enabled
2.02,dg_charging,2.96874774517551,5.7091302791836736,50.0,42.253698,10.715049745175513,-42.86019898070205,0.0,,69.92007884510483,347.7671594557143,458.7228951025067,60.09449706442434,-13.374270807930019,True
2.04,dg_charging,2.971205317812245,5.713856380408163,50.0,42.253698,10.717507317812242,-42.87002927124897,0.0,,69.92015770829333,347.7679183470521,458.20619539062807,60.09408629645759,-13.389352406438638,True
2.06,dg_charging,2.9736628904489795,5.7185824816326525,50.0,42.253698,10.719964890448978,-42.879859561795904,0.0,,69.92023658956552,347.7686594801118,457.99668380332315,60.09375106757226,-13.39547739505725,True
2.08,dg_charging,2.976120463085714,5.723308582857142,50.0,42.253698,10.722422463085714,-42.889689852342855,0.0,,69.92031548892139,347.769383210059,457.9115374435332,60.093477743142984,-13.397968217071051,True
2.1,dg_charging,2.978578035722449,5.728034684081633,50.0,42.253698,10.72488003572245,-42.8995201428898,0.0,,69.92039440636094,347.770089884956,457.87687018259055,60.09325514352875,-13.398982618301009,True
2.12,dg_charging,2.981035608359184,5.732760785306122,50.0,42.253698,10.727337608359186,-42.90935043343674,0.0,,69.92047334188418,347.7707798459039,457.8627545502626,60.09307410216073,-13.39939570084666,True
2.14,dg_charging,2.9834931809959184,5.737486886530612,50.0,42.253698,10.729795180995922,-42.919180723983686,0.0,,69.9205522954911,347.7714534271815,457.85703575507284,60.09292710317451,-13.399563064005235,True
2.16,dg_charging,2.985950753632653,5.742212987755102,50.0,42.253698,10.73225275363265,-42.9290110145306,0.0,,69.92063126718172,347.7721109563822,457.85476132425424,60.09280798426888,-13.399629627426133,True
2.18,dg_charging,2.9884083262693877,5.746939088979591,50.0,42.253698,10.734710326269386,-42.938841305077545,0.0,,69.92071025695601,347.7727527545477,457.8539056654242,60.092711693050305,-13.399654669281775,True
2.2,dg_charging,2.9908658989061223,5.751665190204081,50.0,42.253698,10.737167898906122,-42.94867159562449,0.0,,69.92078926481399,347.7733791362987,457.853636584039,60.09263408723565,-13.399662544282323,True
2.22,dg_charging,2.9933234715428574,5.756391291428572,50.0,42.253698,10.739625471542858,-42.95850188617143,0.0,,69.92086829075565,347.7739904099633,457.85361040429785,60.09257177081876,-13.399663310465419,True
2.24,dg_charging,2.995781044179592,5.761117392653062,50.0,42.253698,10.742083044179594,-42.968332176718384,0.0,,69.92094733478099,347.7745868777033,457.85368435703134,60.09252195972722,-13.399661146145762,True
2.2600000000000002,dg_charging,2.998238616816326,5.765843493877551,50.0,42.253698,10.744540616816323,-42.97816246726529,0.0,,69.92102639689001,347.7751688356374,457.85379874531407,60.0924823716613,-13.399657798430333,True
2.2800000000000002,dg_charging,3.0006961894530613,5.7705695951020415,50.0,42.253698,10.746998189453059,-42.987992757812236,0.0,,69.92110547708272,347.7757365739614,457.8539284359971,60.09245113576202,-13.399654002873135,True
2.3000000000000003,dg_charging,3.003153762089796,5.7752956963265305,50.0,42.253698,10.749455762089795,-42.99782304835918,0.0,,69.92118457535912,347.77629037706765,457.8540627788543,60.09242671853932,-13.399650071166615,True
2.3200000000000003,dg_charging,3.0056113347265305,5.78002179755102,50.0,42.253698,10.751913334726531,-43.007653338906124,0.0,,69.9212636917192,347.7768305236606,457.8541972403856,60.09240786313335,-13.399646135989261,True
2.3400000000000003,dg_charging,3.0080689073632656,5.784747898775511,50.0,42.253698,10.754370907363267,-43.01748362945307,0.0,,69.92134282616297,347.77735728687037,457.85432989281827,60.09239353950899,-13.399642253759609,True
2.3600000000000003,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92142197869042,347.77787093436467,457.854459928639,60.0923829036156,-13.399638448110368,True
2.3800000000000003,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92150113121787,347.7782580657234,457.8553067880485,60.092375018386754,-13.399613663839583,True
2.4000000000000004,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92158028374531,347.7786374544549,457.85606553223766,60.09236937197876,-13.399591458435374,True
2.4200000000000004,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92165943627276,347.77900925541184,457.8566037363901,60.092365545014275,-13.399575707399558,True
2.4400000000000004,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92173858880021,347.7793736203496,457.8569618548535,60.09236319393166,-13.399565226756339,True
2.4600000000000004,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92181774132766,347.7797306979886,457.85720212110704,60.09236203733162,-13.39955819516806,True
2.4800000000000004,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.9218968938551,347.7800806340748,457.8573721342837,60.09236184478153,-13.399553219597951,True
2.5000000000000004,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92197604638255,347.7804235714393,457.85750213436086,60.09236242763516,-13.399549415045346,True
2.5200000000000005,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92205519891,347.78075965005655,457.85760974742686,60.09236363150495,-13.399546265667539,True
2.5400000000000005,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92213435143745,347.7810890071014,457.85770475944736,60.0923653300894,-13.399543485070092,True
2.5600000000000005,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.9222135039649,347.78141177700536,457.85779244293656,60.09236742011164,-13.39954091894859,True
2.5800000000000005,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92229265649235,347.7817280915113,457.85787558602664,60.092369817169214,-13.399538485706097,True
2.6000000000000005,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.9223718090198,347.78203807972704,457.8579556482799,60.09237245233096,-13.399536142627353,True
2.6200000000000006,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92245096154724,347.7823418681785,457.85803339263634,60.092375269346654,-13.39953386738429,True
2.6400000000000006,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92253011407469,347.7826395808609,457.8581092217883,60.09237822235892,-13.399531648191775,True
2.6600000000000006,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92260926660214,347.78293133928975,457.85818335393145,60.092381274027176,-13.399529478664103,True
2.6800000000000006,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92268841912959,347.78321726254995,457.8582559133729,60.09238439398939,-13.399527355163299,True
2.7000000000000006,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92276757165703,347.78349746734494,457.85832697678615,60.092387557600766,-13.39952527544542,True
2.7200000000000006,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92284672418448,347.783772068044,457.858396596651,60.0923907448996,-13.399523237974563,True
2.7400000000000007,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92292587671193,347.78404117672915,457.85846481306544,60.09239393975941,-13.399521241577203,True
2.7600000000000007,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92300502923938,347.7843049032406,457.85853165967524,60.092397129193714,-13.399519285268635,True
2.7800000000000007,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92308418176682,347.78456335522174,457.8585971666423,60.092400302786125,-13.399517368166121,True
2.8000000000000007,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92316333429427,347.7848166381633,457.85866136212957,60.09240345222305,-13.399515489445415,True
2.8200000000000007,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92324248682172,347.7850648554461,457.85872427304463,60.09240657091067,-13.399513648319028,True
2.8400000000000007,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92332163934917,347.78530810838316,457.85878592541417,60.09240965366086,-13.399511844025229,True
2.8600000000000008,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92340079187662,347.7855464962615,457.8588463445748,60.092412696433826,-13.399510075822509,True
2.880000000000001,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92347994440406,347.7857801163822,457.8589055552724,60.09241569612712,-13.399508342986627,True
2.900000000000001,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92355909693151,347.7860090641006,457.85896358171675,60.09241865040269,-13.399506644809051,True
2.920000000000001,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92363824945896,347.7862334328646,457.8590204476128,60.092421557545194,-13.399504980596012,True
2.940000000000001,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92371740198641,347.7864533142533,457.85907617618136,60.09242441634585,-13.399503349667915,True
2.960000000000001,dg_charging,3.01052648,5.789474,50.0,42.253698,10.756828480000003,-43.02731392000001,0.0,,69.92379655451386,347.7866687980142,457.8591307901738,60.09242722600731,-13.3995017513589,True
