figure,channel,time,value,weight
fig11,wind_current_a,4.000000,85.333333,1.0
fig11,wind_current_a,4.050000,85.333333,1.0
fig11,wind_current_a,4.100000,84.666667,1.0
fig11,wind_current_a,4.150000,84.666667,1.0
fig11,wind_current_a,4.200000,84.000000,1.0
fig11,wind_current_a,4.250000,84.000000,1.0
fig11,wind_current_a,4.300000,84.000000,1.0
fig11,wind_current_a,4.350000,83.333333,1.0
fig11,wind_current_a,4.400000,83.333333,1.0
fig11,wind_current_a,4.450000,82.666667,1.0
fig11,wind_current_a,4.500000,82.666667,1.0
fig11,wind_current_a,4.550000,82.666667,1.0
fig11,wind_current_a,4.600000,82.666667,1.0
fig11,wind_current_a,4.650000,82.666667,1.0
fig11,wind_current_a,4.700000,82.666667,1.0
fig11,wind_current_a,4.750000,82.666667,1.0
fig11,wind_current_a,4.800000,82.666667,1.0
fig11,wind_current_a,4.850000,82.666667,1.0
fig11,wind_current_a,4.900000,82.666667,1.0
fig11,wind_current_a,4.950000,82.666667,1.0
fig11,wind_current_a,5.000000,83.333333,1.0
fig11,wind_current_a,5.050000,83.333333,1.0
fig11,wind_current_a,5.100000,83.333333,1.0
fig11,wind_current_a,5.150000,83.333333,1.0
fig11,wind_current_a,5.200000,83.333333,1.0
fig11,wind_current_a,5.250000,83.333333,1.0
fig11,wind_current_a,5.300000,83.333333,1.0
fig11,wind_current_a,5.350000,84.000000,1.0
fig11,wind_current_a,5.400000,84.000000,1.0
fig11,wind_current_a,5.450000,84.000000,1.0
fig11,wind_current_a,5.500000,83.333333,1.0
fig11,wind_current_a,5.550000,84.000000,1.0
fig11,wind_current_a,5.600000,84.000000,1.0
fig11,wind_current_a,5.650000,84.000000,1.0
fig11,wind_current_a,5.700000,83.333333,1.0
fig11,wind_current_a,5.750000,83.333333,1.0
fig11,wind_current_a,5.800000,83.333333,1.0
fig11,wind_current_a,5.850000,83.333333,1.0
fig11,wind_current_a,5.900000,83.333333,1.0
fig11,wind_current_a,5.950000,83.333333,1.0
fig11,wind_current_a,6.000000,83.333333,1.0
fig11,wind_current_a,6.050000,83.333333,1.0
fig11,wind_current_a,6.100000,83.333333,1.0
fig11,wind_current_a,6.150000,83.333333,1.0
fig11,wind_current_a,6.200000,83.333333,1.0
fig11,wind_current_a,6.250000,83.333333,1.0
fig11,wind_current_a,6.300000,83.333333,1.0
fig11,wind_current_a,6.350000,83.333333,1.0
fig11,wind_current_a,6.400000,83.333333,1.0
fig11,wind_current_a,6.450000,83.333333,1.0
fig11,wind_current_a,6.500000,83.333333,1.0
fig11,wind_current_a,6.550000,83.333333,1.0
fig11,wind_current_a,6.600000,84.000000,1.0
fig11,wind_current_a,6.650000,83.333333,1.0
fig11,wind_current_a,6.700000,88.666667,1.0
fig11,wind_current_a,6.750000,91.333333,1.0
fig11,wind_current_a,6.800000,94.000000,1.0
fig11,wind_current_a,6.850000,94.000000,1.0
fig11,wind_current_a,6.900000,93.333333,1.0
fig11,wind_current_a,6.950000,91.333333,1.0
fig11,wind_current_a,7.000000,90.000000,1.0
fig11,wind_current_a,7.050000,88.666667,1.0
fig11,wind_current_a,7.100000,85.333333,1.0
fig11,wind_current_a,7.150000,83.333333,1.0
fig11,wind_current_a,7.200000,81.333333,1.0
fig11,wind_current_a,7.250000,79.333333,1.0
fig11,wind_current_a,7.300000,78.000000,1.0
fig11,wind_current_a,7.350000,76.666667,1.0
fig11,wind_current_a,7.400000,76.000000,1.0
fig11,wind_current_a,7.450000,76.000000,1.0
fig11,wind_current_a,7.500000,76.000000,1.0
fig11,wind_current_a,7.550000,76.000000,1.0
fig11,wind_current_a,7.600000,76.000000,1.0
fig11,wind_current_a,7.650000,77.333333,1.0
fig11,wind_current_a,7.700000,78.000000,1.0
fig11,wind_current_a,7.750000,78.666667,1.0
fig11,wind_current_a,7.800000,80.000000,1.0
fig11,wind_current_a,7.850000,80.666667,1.0
fig11,wind_current_a,7.900000,82.000000,1.0
fig11,wind_current_a,7.950000,82.666667,1.0
fig11,wind_current_a,8.000000,84.000000,1.0
fig11,wind_current_a,8.050000,84.000000,1.0
fig11,wind_current_a,8.100000,84.666667,1.0
fig11,wind_current_a,8.150000,85.333333,1.0
fig11,wind_current_a,8.200000,85.333333,1.0
fig11,wind_current_a,8.250000,85.333333,1.0
fig11,wind_current_a,8.300000,86.000000,1.0
fig11,wind_current_a,8.350000,85.333333,1.0
fig11,wind_current_a,8.400000,85.333333,1.0
fig11,wind_current_a,8.450000,85.333333,1.0
fig11,wind_current_a,8.500000,85.333333,1.0
fig11,wind_current_a,8.550000,84.666667,1.0
fig11,wind_current_a,8.600000,84.666667,1.0
fig11,wind_current_a,8.650000,84.000000,1.0
fig11,wind_current_a,8.700000,84.000000,1.0
fig11,wind_current_a,8.750000,83.333333,1.0
fig11,wind_current_a,8.800000,83.333333,1.0
fig11,wind_current_a,8.850000,83.333333,1.0
fig11,wind_current_a,8.900000,82.666667,1.0
fig11,wind_current_a,8.950000,82.666667,1.0
fig11,wind_current_a,9.000000,82.666667,1.0
fig11,wind_current_a,9.050000,82.666667,1.0
fig11,wind_current_a,9.100000,82.666667,1.0
fig11,wind_current_a,9.150000,82.666667,1.0
fig11,wind_current_a,9.200000,82.666667,1.0
fig11,wind_current_a,9.250000,82.666667,1.0
fig11,wind_current_a,9.300000,82.666667,1.0
fig11,wind_current_a,9.350000,82.666667,1.0
fig11,wind_current_a,9.400000,83.333333,1.0
fig11,wind_current_a,9.450000,83.333333,1.0
fig11,wind_current_a,9.500000,83.333333,1.0
fig11,wind_current_a,9.550000,83.333333,1.0
fig11,wind_current_a,9.600000,83.333333,1.0
fig11,wind_current_a,9.650000,83.333333,1.0
fig11,wind_current_a,9.700000,83.333333,1.0
fig11,wind_current_a,9.750000,84.000000,1.0
fig11,wind_current_a,9.800000,84.000000,1.0
fig11,wind_current_a,9.850000,83.333333,1.0
fig11,wind_current_a,9.900000,84.000000,1.0
fig11,wind_current_a,9.950000,84.000000,1.0
fig11,wind_current_a,10.000000,84.000000,1.0
