figure,channel,time,value,weight
fig9,dc_bus_voltage_v,2.000000,348.191489,1.0
fig9,dc_bus_voltage_v,2.100000,347.872340,1.0
fig9,dc_bus_voltage_v,2.200000,347.872340,1.0
fig9,dc_bus_voltage_v,2.300000,347.872340,1.0
fig9,dc_bus_voltage_v,2.400000,347.872340,1.0
fig9,dc_bus_voltage_v,2.500000,347.872340,1.0
fig9,dc_bus_voltage_v,2.600000,347.872340,1.0
fig9,dc_bus_voltage_v,2.700000,347.872340,1.0
fig9,dc_bus_voltage_v,2.800000,347.872340,1.0
fig9,dc_bus_voltage_v,2.900000,347.872340,1.0
fig9,dc_bus_voltage_v,3.000000,347.872340,1.0
fig9,dc_bus_voltage_v,3.100000,347.872340,1.0
fig9,dc_bus_voltage_v,3.200000,347.872340,1.0
fig9,dc_bus_voltage_v,3.300000,347.872340,1.0
fig9,dc_bus_voltage_v,3.400000,347.872340,1.0
fig9,dc_bus_voltage_v,3.500000,347.872340,1.0
fig9,dc_bus_voltage_v,3.600000,347.872340,1.0
fig9,dc_bus_voltage_v,3.700000,347.872340,1.0
fig9,dc_bus_voltage_v,3.800000,347.872340,1.0
fig9,dc_bus_voltage_v,3.900000,347.872340,1.0
fig9,dc_bus_voltage_v,4.000000,347.872340,1.0
fig9,dc_bus_voltage_v,4.100000,347.872340,1.0
fig9,dc_bus_voltage_v,4.200000,347.872340,1.0
fig9,dc_bus_voltage_v,4.300000,347.872340,1.0
fig9,dc_bus_voltage_v,4.400000,347.872340,1.0
fig9,dc_bus_voltage_v,4.500000,347.872340,1.0
fig9,dc_bus_voltage_v,4.600000,347.872340,1.0
fig9,dc_bus_voltage_v,4.700000,347.872340,1.0
fig9,dc_bus_voltage_v,4.800000,347.872340,1.0
fig9,dc_bus_voltage_v,4.900000,347.872340,1.0
fig9,dc_bus_voltage_v,5.000000,347.872340,1.0
fig9,dc_bus_voltage_v,5.100000,347.872340,1.0
fig9,dc_bus_voltage_v,5.200000,347.872340,1.0
fig9,dc_bus_voltage_v,5.300000,347.872340,1.0
fig9,dc_bus_voltage_v,5.400000,347.872340,1.0
fig9,dc_bus_voltage_v,5.500000,347.872340,1.0
fig9,dc_bus_voltage_v,5.600000,347.872340,1.0
fig9,dc_bus_voltage_v,5.700000,347.872340,1.0
fig9,dc_bus_voltage_v,5.800000,347.872340,1.0
fig9,dc_bus_voltage_v,5.900000,347.872340,1.0
fig9,dc_bus_voltage_v,6.000000,347.872340,1.0
fig9,dc_bus_voltage_v,6.100000,347.872340,1.0
fig9,dc_bus_voltage_v,6.200000,347.872340,1.0
fig9,dc_bus_voltage_v,6.300000,347.872340,1.0
fig9,dc_bus_voltage_v,6.400000,347.872340,1.0
fig9,dc_bus_voltage_v,6.500000,347.872340,1.0
fig9,dc_bus_voltage_v,6.600000,347.872340,1.0
fig9,dc_bus_voltage_v,6.700000,350.425532,1.0
fig9,dc_bus_voltage_v,6.800000,350.425532,1.0
fig9,dc_bus_voltage_v,6.900000,350.425532,1.0
fig9,dc_bus_voltage_v,7.000000,350.904255,1.0
fig9,dc_bus_voltage_v,7.100000,349.468085,1.0
fig9,dc_bus_voltage_v,7.200000,348.989362,1.0
fig9,dc_bus_voltage_v,7.300000,348.829787,1.0
fig9,dc_bus_voltage_v,7.400000,348.989362,1.0
fig9,dc_bus_voltage_v,7.500000,350.106383,1.0
fig9,dc_bus_voltage_v,7.600000,350.904255,1.0
fig9,dc_bus_voltage_v,7.700000,351.063830,1.0
fig9,dc_bus_voltage_v,7.800000,351.063830,1.0
fig9,dc_bus_voltage_v,7.900000,350.425532,1.0
fig9,dc_bus_voltage_v,8.000000,349.787234,1.0
fig9,dc_bus_voltage_v,8.100000,348.829787,1.0
fig9,dc_bus_voltage_v,8.200000,348.031915,1.0
fig9,dc_bus_voltage_v,8.300000,348.031915,1.0
fig9,dc_bus_voltage_v,8.400000,348.031915,1.0
fig9,dc_bus_voltage_v,8.500000,348.031915,1.0
fig9,dc_bus_voltage_v,8.600000,346.595745,1.0
fig9,dc_bus_voltage_v,8.700000,346.595745,1.0
fig9,dc_bus_voltage_v,8.800000,346.595745,1.0
fig9,dc_bus_voltage_v,8.900000,343.882979,1.0
fig9,dc_bus_voltage_v,9.000000,344.042553,1.0
fig9,dc_bus_voltage_v,9.100000,345.000000,1.0
fig9,dc_bus_voltage_v,9.200000,345.797872,1.0
fig9,dc_bus_voltage_v,9.300000,346.276596,1.0
fig9,dc_bus_voltage_v,9.400000,346.276596,1.0
fig9,dc_bus_voltage_v,9.500000,346.276596,1.0
fig9,dc_bus_voltage_v,9.600000,346.595745,1.0
fig9,dc_bus_voltage_v,9.700000,346.595745,1.0
fig9,dc_bus_voltage_v,9.800000,346.595745,1.0
fig9,dc_bus_voltage_v,9.900000,346.595745,1.0
fig9,dc_bus_voltage_v,10.000000,346.595745,1.0
fig9,dc_bus_voltage_v,10.100000,346.595745,1.0
fig9,dc_bus_voltage_v,10.200000,346.595745,1.0
fig9,dc_bus_voltage_v,10.300000,346.595745,1.0
fig9,dc_bus_voltage_v,10.400000,339.734043,1.0
fig9,dc_bus_voltage_v,10.500000,339.734043,1.0
fig9,dc_bus_voltage_v,10.600000,339.734043,1.0
fig9,dc_bus_voltage_v,10.700000,339.255319,1.0
fig9,dc_bus_voltage_v,10.800000,341.170213,1.0
fig9,dc_bus_voltage_v,10.900000,343.085106,1.0
fig9,dc_bus_voltage_v,11.000000,344.042553,1.0
fig9,dc_bus_voltage_v,11.100000,344.202128,1.0
fig9,dc_bus_voltage_v,11.200000,344.840426,1.0
fig9,dc_bus_voltage_v,11.300000,345.319149,1.0
fig9,dc_bus_voltage_v,11.400000,345.638298,1.0
fig9,dc_bus_voltage_v,11.500000,346.117021,1.0
fig9,dc_bus_voltage_v,11.600000,346.276596,1.0
fig9,dc_bus_voltage_v,11.700000,346.595745,1.0
fig9,dc_bus_voltage_v,11.800000,346.595745,1.0
fig9,dc_bus_voltage_v,11.900000,346.595745,1.0
fig9,dc_bus_voltage_v,12.000000,346.595745,1.0
fig9,dc_bus_voltage_v,12.100000,346.595745,1.0
fig9,dc_bus_voltage_v,12.200000,346.595745,1.0
fig9,dc_bus_voltage_v,12.300000,346.595745,1.0
fig9,dc_bus_voltage_v,12.400000,346.595745,1.0
fig9,dc_bus_voltage_v,12.500000,346.595745,1.0
fig9,dc_bus_voltage_v,12.600000,346.595745,1.0
fig9,dc_bus_voltage_v,12.700000,346.595745,1.0
fig9,dc_bus_voltage_v,12.800000,346.595745,1.0
fig9,dc_bus_voltage_v,12.900000,346.595745,1.0
fig9,dc_bus_voltage_v,13.000000,346.595745,1.0
fig9,dc_bus_voltage_v,13.100000,346.595745,1.0
fig9,dc_bus_voltage_v,13.200000,346.595745,1.0
fig9,dc_bus_voltage_v,13.300000,346.595745,1.0
fig9,dc_bus_voltage_v,13.400000,346.595745,1.0
fig9,dc_bus_voltage_v,13.500000,346.595745,1.0
fig9,dc_bus_voltage_v,13.600000,346.595745,1.0
fig9,dc_bus_voltage_v,13.700000,346.595745,1.0
fig9,dc_bus_voltage_v,13.800000,346.595745,1.0
fig9,dc_bus_voltage_v,13.900000,346.595745,1.0
fig9,dc_bus_voltage_v,14.000000,346.595745,1.0
fig9,dc_bus_voltage_v,14.100000,346.595745,1.0
fig9,dc_bus_voltage_v,14.200000,346.595745,1.0
fig9,dc_bus_voltage_v,14.300000,346.595745,1.0
fig9,dc_bus_voltage_v,14.400000,346.595745,1.0
fig9,dc_bus_voltage_v,14.500000,346.595745,1.0
fig9,dc_bus_voltage_v,14.600000,346.595745,1.0
fig9,dc_bus_voltage_v,14.700000,346.595745,1.0
fig9,dc_bus_voltage_v,14.800000,346.595745,1.0
fig9,dc_bus_voltage_v,14.900000,346.595745,1.0
fig9,dc_bus_voltage_v,15.000000,346.595745,1.0
fig9,dc_bus_voltage_v,15.100000,346.595745,1.0
fig9,dc_bus_voltage_v,15.200000,346.595745,1.0
fig9,dc_bus_voltage_v,15.300000,346.595745,1.0
fig9,dc_bus_voltage_v,15.400000,346.595745,1.0
fig9,dc_bus_voltage_v,15.500000,346.595745,1.0
fig9,dc_bus_voltage_v,15.600000,346.595745,1.0
fig9,dc_bus_voltage_v,15.700000,346.595745,1.0
fig9,dc_bus_voltage_v,15.800000,346.595745,1.0
fig9,dc_bus_voltage_v,15.900000,346.595745,1.0
fig9,dc_bus_voltage_v,16.000000,346.595745,1.0
fig9,dc_bus_voltage_v,16.100000,346.595745,1.0
fig9,dc_bus_voltage_v,16.200000,346.595745,1.0
fig9,dc_bus_voltage_v,16.300000,346.595745,1.0
fig9,dc_bus_voltage_v,16.400000,346.595745,1.0
fig9,dc_bus_voltage_v,16.500000,346.595745,1.0
fig9,dc_bus_voltage_v,16.600000,346.595745,1.0
fig9,dc_bus_voltage_v,16.700000,346.595745,1.0
fig9,dc_bus_voltage_v,16.800000,346.595745,1.0
fig9,dc_bus_voltage_v,16.900000,346.595745,1.0
fig9,dc_bus_voltage_v,17.000000,346.595745,1.0
fig9,dc_bus_voltage_v,17.100000,348.191489,1.0
fig9,dc_bus_voltage_v,17.200000,348.191489,1.0
fig9,dc_bus_voltage_v,17.300000,348.191489,1.0
fig9,dc_bus_voltage_v,17.400000,348.191489,1.0
fig9,dc_bus_voltage_v,17.500000,348.191489,1.0
fig9,dc_bus_voltage_v,17.600000,348.191489,1.0
fig9,dc_bus_voltage_v,17.700000,348.191489,1.0
fig9,dc_bus_voltage_v,17.800000,348.191489,1.0
fig9,dc_bus_voltage_v,17.900000,352.180851,1.0
fig9,dc_bus_voltage_v,18.000000,352.500000,1.0
fig9,dc_bus_voltage_v,18.100000,350.744681,1.0
fig9,dc_bus_voltage_v,18.200000,349.787234,1.0
fig9,dc_bus_voltage_v,18.300000,349.787234,1.0
fig9,dc_bus_voltage_v,18.400000,348.670213,1.0
fig9,dc_bus_voltage_v,18.500000,348.351064,1.0
fig9,dc_bus_voltage_v,18.600000,348.191489,1.0
fig9,dc_bus_voltage_v,18.700000,348.191489,1.0
fig9,dc_bus_voltage_v,18.800000,348.191489,1.0
fig9,dc_bus_voltage_v,18.900000,348.191489,1.0
fig9,dc_bus_voltage_v,19.000000,348.191489,1.0
fig9,dc_bus_voltage_v,19.100000,348.191489,1.0
fig9,dc_bus_voltage_v,19.200000,348.191489,1.0
fig9,dc_bus_voltage_v,19.300000,348.191489,1.0
fig9,dc_bus_voltage_v,19.400000,348.191489,1.0
fig9,dc_bus_voltage_v,19.500000,348.191489,1.0
fig9,dc_bus_voltage_v,19.600000,348.191489,1.0
fig9,dc_bus_voltage_v,19.700000,348.191489,1.0
fig9,dc_bus_voltage_v,19.800000,348.191489,1.0
fig9,dc_bus_voltage_v,19.900000,348.191489,1.0
fig9,dc_bus_voltage_v,20.000000,348.191489,1.0
