figure,channel,time,value,weight
fig11,soc_percent,4.050000,99.977556,1.0
fig11,soc_percent,4.100000,99.977556,1.0
fig11,soc_percent,4.150000,99.978000,1.0
fig11,soc_percent,4.200000,99.978444,1.0
fig11,soc_percent,4.250000,99.978889,1.0
fig11,soc_percent,4.300000,99.979556,1.0
fig11,soc_percent,4.350000,99.980000,1.0
fig11,soc_percent,4.400000,99.980222,1.0
fig11,soc_percent,4.450000,99.980444,1.0
fig11,soc_percent,4.500000,99.981111,1.0
fig11,soc_percent,4.550000,99.981556,1.0
fig11,soc_percent,4.600000,99.982000,1.0
fig11,soc_percent,4.650000,99.982444,1.0
fig11,soc_percent,4.700000,99.982889,1.0
fig11,soc_percent,4.750000,99.983333,1.0
fig11,soc_percent,4.800000,99.983778,1.0
fig11,soc_percent,4.850000,99.984222,1.0
fig11,soc_percent,4.900000,99.984667,1.0
fig11,soc_percent,4.950000,99.985111,1.0
fig11,soc_percent,5.000000,99.985333,1.0
fig11,soc_percent,5.050000,99.985778,1.0
fig11,soc_percent,5.100000,99.986444,1.0
fig11,soc_percent,5.150000,99.986667,1.0
fig11,soc_percent,5.200000,99.987111,1.0
fig11,soc_percent,5.250000,99.987556,1.0
fig11,soc_percent,5.300000,99.988000,1.0
fig11,soc_percent,5.350000,99.988667,1.0
fig11,soc_percent,5.400000,99.988889,1.0
fig11,soc_percent,5.450000,99.989556,1.0
fig11,soc_percent,5.500000,99.989778,1.0
fig11,soc_percent,5.550000,99.990222,1.0
fig11,soc_percent,5.600000,99.990667,1.0
fig11,soc_percent,5.650000,99.991111,1.0
fig11,soc_percent,5.700000,99.991333,1.0
fig11,soc_percent,5.750000,99.992000,1.0
fig11,soc_percent,5.800000,99.992444,1.0
fig11,soc_percent,5.850000,99.992889,1.0
fig11,soc_percent,5.900000,99.993333,1.0
fig11,soc_percent,5.950000,99.993778,1.0
fig11,soc_percent,6.000000,99.994222,1.0
fig11,soc_percent,6.050000,99.994667,1.0
fig11,soc_percent,6.100000,99.995111,1.0
fig11,soc_percent,6.150000,99.995556,1.0
fig11,soc_percent,6.200000,99.996000,1.0
fig11,soc_percent,6.250000,99.996444,1.0
fig11,soc_percent,6.300000,99.996889,1.0
fig11,soc_percent,6.350000,99.997333,1.0
fig11,soc_percent,6.400000,99.997778,1.0
fig11,soc_percent,6.450000,99.998222,1.0
fig11,soc_percent,6.500000,99.998444,1.0
fig11,soc_percent,6.550000,99.999111,1.0
fig11,soc_percent,6.600000,99.999556,1.0
fig11,soc_percent,6.650000,100.000000,1.0
fig11,soc_percent,6.700000,100.000000,1.0
fig11,soc_percent,6.750000,100.000000,1.0
fig11,soc_percent,6.800000,99.999556,1.0
fig11,soc_percent,6.850000,99.999111,1.0
fig11,soc_percent,6.900000,99.998889,1.0
fig11,soc_percent,6.950000,99.998444,1.0
fig11,soc_percent,7.000000,99.998222,1.0
fig11,soc_percent,7.050000,99.998000,1.0
fig11,soc_percent,7.100000,99.997333,1.0
fig11,soc_percent,7.150000,99.997111,1.0
fig11,soc_percent,7.200000,99.996889,1.0
fig11,soc_percent,7.250000,99.996222,1.0
fig11,soc_percent,7.300000,99.996000,1.0
fig11,soc_percent,7.350000,99.995333,1.0
fig11,soc_percent,7.400000,99.995111,1.0
fig11,soc_percent,7.450000,99.994667,1.0
fig11,soc_percent,7.500000,99.994000,1.0
fig11,soc_percent,7.550000,99.993556,1.0
fig11,soc_percent,7.600000,99.993111,1.0
fig11,soc_percent,7.650000,99.992667,1.0
fig11,soc_percent,7.700000,99.992222,1.0
fig11,soc_percent,7.750000,99.991778,1.0
fig11,soc_percent,7.800000,99.991333,1.0
fig11,soc_percent,7.850000,99.990889,1.0
fig11,soc_percent,7.900000,99.990222,1.0
fig11,soc_percent,7.950000,99.990000,1.0
fig11,soc_percent,8.000000,99.989778,1.0
fig11,soc_percent,8.050000,99.989111,1.0
fig11,soc_percent,8.100000,99.988667,1.0
