figure,channel,time,value,weight
fig9,frequency_hz,14.700000,60.095745,1.0
fig9,frequency_hz,14.800000,60.095745,1.0
fig9,frequency_hz,14.900000,60.095745,1.0
fig9,frequency_hz,15.000000,60.095745,1.0
fig9,frequency_hz,15.100000,60.095745,1.0
fig9,frequency_hz,15.200000,60.095745,1.0
fig9,frequency_hz,15.300000,60.095745,1.0
fig9,frequency_hz,15.400000,60.095745,1.0
fig9,frequency_hz,15.500000,60.095745,1.0
fig9,frequency_hz,15.600000,60.095745,1.0
fig9,frequency_hz,15.700000,60.095745,1.0
fig9,frequency_hz,15.800000,60.095745,1.0
fig9,frequency_hz,15.900000,60.101064,1.0
fig9,frequency_hz,16.000000,60.095745,1.0
fig9,frequency_hz,16.100000,60.095745,1.0
fig9,frequency_hz,16.200000,60.095745,1.0
fig9,frequency_hz,16.300000,60.095745,1.0
fig9,frequency_hz,16.400000,60.095745,1.0
fig9,frequency_hz,16.500000,60.095745,1.0
fig9,frequency_hz,16.600000,60.095745,1.0
fig9,frequency_hz,16.700000,60.095745,1.0
fig9,frequency_hz,16.800000,60.095745,1.0
fig9,frequency_hz,16.900000,60.095745,1.0
fig9,frequency_hz,17.000000,60.095745,1.0
fig9,frequency_hz,17.100000,60.095745,1.0
fig9,frequency_hz,17.200000,60.095745,1.0
fig9,frequency_hz,17.300000,60.095745,1.0
fig9,frequency_hz,17.400000,60.095745,1.0
fig9,frequency_hz,17.500000,60.095745,1.0
fig9,frequency_hz,17.600000,60.095745,1.0
fig9,frequency_hz,17.700000,60.095745,1.0
fig9,frequency_hz,17.800000,60.095745,1.0
fig9,frequency_hz,17.900000,60.090426,1.0
fig9,frequency_hz,18.000000,60.095745,1.0
fig9,frequency_hz,18.100000,60.095745,1.0
fig9,frequency_hz,18.200000,60.095745,1.0
fig9,frequency_hz,18.300000,60.095745,1.0
fig9,frequency_hz,18.400000,60.095745,1.0
fig9,frequency_hz,18.500000,60.095745,1.0
fig9,frequency_hz,18.600000,60.095745,1.0
fig9,frequency_hz,18.700000,60.095745,1.0
fig9,frequency_hz,18.800000,60.095745,1.0
fig9,frequency_hz,18.900000,60.095745,1.0
fig9,frequency_hz,19.000000,60.095745,1.0
fig9,frequency_hz,19.100000,60.095745,1.0
fig9,frequency_hz,19.200000,60.095745,1.0
fig9,frequency_hz,19.300000,60.095745,1.0
fig9,frequency_hz,19.400000,60.095745,1.0
fig9,frequency_hz,19.500000,60.095745,1.0
fig9,frequency_hz,19.600000,60.095745,1.0
fig9,frequency_hz,19.700000,60.095745,1.0
fig9,frequency_hz,19.800000,60.090426,1.0
fig9,frequency_hz,19.900000,60.090426,1.0
fig9,frequency_hz,20.000000,60.090426,1.0
