figure,channel,time,value,weight
fig9,battery_current_a,14.400000,73.157895,1.0
fig9,battery_current_a,14.500000,73.157895,1.0
fig9,battery_current_a,14.600000,74.736842,1.0
fig9,battery_current_a,14.700000,77.894737,1.0
fig9,battery_current_a,14.800000,77.894737,1.0
fig9,battery_current_a,14.900000,79.473684,1.0
fig9,battery_current_a,15.000000,81.052632,1.0
fig9,battery_current_a,15.100000,82.631579,1.0
fig9,battery_current_a,15.200000,82.631579,1.0
fig9,battery_current_a,15.300000,82.631579,1.0
fig9,battery_current_a,15.400000,81.052632,1.0
fig9,battery_current_a,15.500000,81.052632,1.0
fig9,battery_current_a,15.600000,81.052632,1.0
fig9,battery_current_a,15.700000,79.473684,1.0
fig9,battery_current_a,15.800000,81.052632,1.0
fig9,battery_current_a,15.900000,79.473684,1.0
fig9,battery_current_a,16.000000,81.052632,1.0
fig9,battery_current_a,16.100000,79.473684,1.0
fig9,battery_current_a,16.200000,76.315789,1.0
fig9,battery_current_a,16.300000,74.736842,1.0
fig9,battery_current_a,16.400000,71.578947,1.0
fig9,battery_current_a,16.500000,63.684211,1.0
fig9,battery_current_a,16.600000,63.684211,1.0
fig9,battery_current_a,16.700000,60.526316,1.0
fig9,battery_current_a,16.800000,54.210526,1.0
fig9,battery_current_a,16.900000,52.631579,1.0
fig9,battery_current_a,17.000000,47.894737,1.0
fig9,battery_current_a,17.100000,46.315789,1.0
fig9,battery_current_a,17.200000,41.578947,1.0
fig9,battery_current_a,17.300000,36.842105,1.0
fig9,battery_current_a,17.400000,35.263158,1.0
fig9,battery_current_a,17.500000,32.105263,1.0
fig9,battery_current_a,17.600000,27.368421,1.0
fig9,battery_current_a,17.700000,25.789474,1.0
fig9,battery_current_a,17.800000,22.631579,1.0
fig9,battery_current_a,17.900000,-16.842105,1.0
fig9,battery_current_a,18.000000,-38.947368,1.0
fig9,battery_current_a,18.100000,-38.947368,1.0
fig9,battery_current_a,18.200000,-43.684211,1.0
fig9,battery_current_a,18.300000,-45.263158,1.0
fig9,battery_current_a,18.400000,-46.842105,1.0
fig9,battery_current_a,18.500000,-46.842105,1.0
fig9,battery_current_a,18.600000,-48.421053,1.0
fig9,battery_current_a,18.700000,-46.842105,1.0
fig9,battery_current_a,18.800000,-46.842105,1.0
fig9,battery_current_a,18.900000,-43.684211,1.0
fig9,battery_current_a,19.000000,-42.105263,1.0
fig9,battery_current_a,19.100000,-40.526316,1.0
fig9,battery_current_a,19.200000,-38.947368,1.0
fig9,battery_current_a,19.300000,-38.947368,1.0
fig9,battery_current_a,19.400000,-38.947368,1.0
fig9,battery_current_a,19.500000,-40.526316,1.0
fig9,battery_current_a,19.600000,-40.526316,1.0
fig9,battery_current_a,19.700000,-40.526316,1.0
fig9,battery_current_a,19.800000,-40.526316,1.0
fig9,battery_current_a,19.900000,-40.526316,1.0
fig9,battery_current_a,20.000000,-40.526316,1.0
