figure,channel,time,value,weight
fig9,load_power_kw,14.700000,34.252632,1.0
fig9,load_power_kw,14.800000,33.705263,1.0
fig9,load_power_kw,14.900000,33.826316,1.0
fig9,load_power_kw,15.000000,33.400000,1.0
fig9,load_power_kw,15.100000,33.247368,1.0
fig9,load_power_kw,15.200000,33.247368,1.0
fig9,load_power_kw,15.300000,32.973684,1.0
fig9,load_power_kw,15.400000,32.852632,1.0
fig9,load_power_kw,15.500000,32.852632,1.0
fig9,load_power_kw,15.600000,33.126316,1.0
fig9,load_power_kw,15.700000,33.005263,1.0
fig9,load_power_kw,15.800000,33.400000,1.0
fig9,load_power_kw,15.900000,33.278947,1.0
fig9,load_power_kw,16.000000,33.673684,1.0
fig9,load_power_kw,16.100000,33.826316,1.0
fig9,load_power_kw,16.200000,33.310526,1.0
fig9,load_power_kw,16.300000,35.105263,1.0
fig9,load_power_kw,16.400000,35.410526,1.0
fig9,load_power_kw,16.500000,35.352632,1.0
fig9,load_power_kw,16.600000,36.173684,1.0
fig9,load_power_kw,16.700000,37.847369,1.0
fig9,load_power_kw,16.800000,38.184210,1.0
fig9,load_power_kw,16.900000,38.610526,1.0
fig9,load_power_kw,17.000000,39.889474,1.0
fig9,load_power_kw,17.100000,40.589474,1.0
fig9,load_power_kw,17.200000,41.047368,1.0
fig9,load_power_kw,17.300000,41.778947,1.0
fig9,load_power_kw,17.400000,41.931579,1.0
fig9,load_power_kw,17.500000,43.331579,1.0
fig9,load_power_kw,17.600000,43.789474,1.0
fig9,load_power_kw,17.700000,43.942105,1.0
fig9,load_power_kw,17.800000,45.068421,1.0
fig9,load_power_kw,17.900000,36.021053,1.0
fig9,load_power_kw,18.000000,30.494737,1.0
fig9,load_power_kw,18.100000,31.315789,1.0
fig9,load_power_kw,18.200000,32.047368,1.0
fig9,load_power_kw,18.300000,32.200000,1.0
fig9,load_power_kw,18.400000,33.447368,1.0
fig9,load_power_kw,18.500000,33.994737,1.0
fig9,load_power_kw,18.600000,33.873684,1.0
fig9,load_power_kw,18.700000,33.721053,1.0
fig9,load_power_kw,18.800000,33.447368,1.0
fig9,load_power_kw,18.900000,33.415789,1.0
fig9,load_power_kw,19.000000,32.715790,1.0
fig9,load_power_kw,19.100000,32.836842,1.0
fig9,load_power_kw,19.200000,32.410527,1.0
fig9,load_power_kw,19.300000,32.136842,1.0
fig9,load_power_kw,19.400000,32.136842,1.0
fig9,load_power_kw,19.500000,31.742105,1.0
fig9,load_power_kw,19.600000,32.015790,1.0
fig9,load_power_kw,19.700000,32.289473,1.0
fig9,load_power_kw,19.800000,32.289473,1.0
fig9,load_power_kw,19.900000,32.015790,1.0
fig9,load_power_kw,20.000000,32.015790,1.0
