figure,channel,time,value,weight
fig9,wind_current_a,14.700000,28.421053,1.0
fig9,wind_current_a,14.800000,27.368421,1.0
fig9,wind_current_a,14.900000,26.842105,1.0
fig9,wind_current_a,15.000000,25.263158,1.0
fig9,wind_current_a,15.100000,24.210526,1.0
fig9,wind_current_a,15.200000,24.210526,1.0
fig9,wind_current_a,15.300000,23.684211,1.0
fig9,wind_current_a,15.400000,24.210526,1.0
fig9,wind_current_a,15.500000,24.210526,1.0
fig9,wind_current_a,15.600000,24.736842,1.0
fig9,wind_current_a,15.700000,25.263158,1.0
fig9,wind_current_a,15.800000,25.263158,1.0
fig9,wind_current_a,15.900000,25.789474,1.0
fig9,wind_current_a,16.000000,25.789474,1.0
fig9,wind_current_a,16.100000,26.842105,1.0
fig9,wind_current_a,16.200000,27.368421,1.0
fig9,wind_current_a,16.300000,31.578947,1.0
fig9,wind_current_a,16.400000,33.684211,1.0
fig9,wind_current_a,16.500000,37.368421,1.0
fig9,wind_current_a,16.600000,38.947368,1.0
fig9,wind_current_a,16.700000,43.684211,1.0
fig9,wind_current_a,16.800000,47.368421,1.0
fig9,wind_current_a,16.900000,48.947368,1.0
fig9,wind_current_a,17.000000,53.684211,1.0
fig9,wind_current_a,17.100000,55.789474,1.0
fig9,wind_current_a,17.200000,58.947368,1.0
fig9,wind_current_a,17.300000,62.631579,1.0
fig9,wind_current_a,17.400000,63.684211,1.0
fig9,wind_current_a,17.500000,67.894737,1.0
fig9,wind_current_a,17.600000,71.052632,1.0
fig9,wind_current_a,17.700000,72.105263,1.0
fig9,wind_current_a,17.800000,75.789474,1.0
fig9,wind_current_a,17.900000,77.368421,1.0
fig9,wind_current_a,18.000000,77.368421,1.0
fig9,wind_current_a,18.100000,78.947368,1.0
fig9,wind_current_a,18.200000,82.631579,1.0
fig9,wind_current_a,18.300000,83.684211,1.0
fig9,wind_current_a,18.400000,86.842105,1.0
fig9,wind_current_a,18.500000,87.894737,1.0
fig9,wind_current_a,18.600000,88.421053,1.0
fig9,wind_current_a,18.700000,87.368421,1.0
fig9,wind_current_a,18.800000,86.842105,1.0
fig9,wind_current_a,18.900000,85.263158,1.0
fig9,wind_current_a,19.000000,83.157895,1.0
fig9,wind_current_a,19.100000,82.631579,1.0
fig9,wind_current_a,19.200000,81.052632,1.0
fig9,wind_current_a,19.300000,80.526316,1.0
fig9,wind_current_a,19.400000,80.526316,1.0
fig9,wind_current_a,19.500000,80.526316,1.0
fig9,wind_current_a,19.600000,81.052632,1.0
fig9,wind_current_a,19.700000,81.578947,1.0
fig9,wind_current_a,19.800000,81.578947,1.0
fig9,wind_current_a,19.900000,81.052632,1.0
fig9,wind_current_a,20.000000,81.052632,1.0
